no.,pcd_name,x,y,z,angle,reverse,volume,length,width,height
1,1-0.25-0.pcd,-0.020350095717455566,-0.01521168140540968,0.23242694412546452,-17.54552955621472,0,1.9683143505480144e-05,-0.0396241229597668,-0.032224125988149235,-0.03640688384709306
2,1-0.25-15.pcd,-0.015719775347052843,-0.012953782440623403,0.23384682032368861,-30.299600744314464,0,1.8641170040813407e-05,-0.04012017193580025,-0.032017212057037274,-0.03455371093711956
3,1-0.25-30.pcd,-0.010780211507843014,-0.007585438031440036,0.23313762167158572,-43.0993620528225,0,2.218988511486041e-05,-0.04124840969104461,-0.03315194981553364,-0.03623316633730708
4,1-0.25-45.pcd,-0.011686575087248904,-0.009953189462313678,0.23428833130461915,-56.96952846736185,0,2.0388562178315034e-05,-0.04075752100666498,-0.030836883049182272,-0.0337671749308025
5,1-0.25-60.pcd,-0.009165590478657476,-0.006998490638356813,0.23258069361368547,-67.11647950862061,0,2.1434638695144297e-05,-0.042887705644664154,-0.031033535119143165,-0.03700242524866698
6,1-0.25-75.pcd,-0.010192805561943734,-0.006078702184739101,0.23455380596438818,-78.57259507778456,0,1.9421684864667374e-05,-0.03883887407153919,-0.032430974078787825,-0.03238257561307497
7,1-0.25-90.pcd,-0.012189673834734188,-0.0036710439755149966,0.2327232223087852,87.87832388734495,1,2.1857516094423268e-05,-0.03931088156214617,-0.03145991579166192,-0.03458116272389672
8,1-0.35-0.pcd,-0.022562053883218032,-0.01195733766100602,0.3380791001334433,-22.78504692994966,0,1.815537478977337e-05,-0.0395668193219187,-0.03252791161231546,-0.02943405413222494
9,1-0.35-15.pcd,-0.012018106860967773,-0.003168027510283141,0.3383367389347419,-39.642607611520674,0,2.0139982951535476e-05,-0.03897077841386656,-0.03208534764246415,-0.029272559665479578
10,1-0.35-30.pcd,-0.011782507166592852,-0.005791828496095352,0.3384429965874864,-48.82871134008705,0,1.991853720316621e-05,-0.040414271038602234,-0.031092395791165402,-0.029471559013331622
11,1-0.35-45.pcd,-0.007196465121692022,-0.004567997183036107,0.3382859271903068,-57.108861649920755,0,1.7914407610833116e-05,-0.041064491399792485,-0.030042266439228107,-0.02975807714331902
12,1-0.35-60.pcd,-0.0025207884476507792,-0.0030378170647185304,0.33798319865833554,-69.21348007234364,0,1.9217064376879342e-05,-0.039867597075888536,-0.03078386700412462,-0.030148922459194094
13,1-0.35-75.pcd,-0.004886883476775709,-0.0028425038791188226,0.3375225113955724,-80.59577923300662,0,1.9322588919658996e-05,-0.0394102239353835,-0.029871673739681782,-0.030206143110542347
14,1-0.35-90.pcd,-0.002106074974465252,-0.0029086269861833035,0.3363048287762472,85.956865982126,1,1.804215438376701e-05,-0.040305194857530896,-0.029806129336147243,-0.029624513535977393
15,1-0.45-0.pcd,-0.020500176588453167,-0.0018532724381461498,0.4393976771827944,-23.281213418244178,0,1.818105963218054e-05,-0.03776064156464924,-0.031665922074349234,-0.028676366223784777
16,1-0.45-15.pcd,-0.0143072618588434,-0.001973071982389108,0.4395760186345926,-40.95763863746567,0,1.7010258666889298e-05,-0.038416110347067815,-0.030371727469789042,-0.029346301964708776
17,1-0.45-30.pcd,-0.006469867345397779,0.0018472201699438898,0.43986405926436806,-45.34628173229147,0,1.642574380775813e-05,-0.03912669177503796,-0.0317904702596494,-0.028602973875359042
18,1-0.45-45.pcd,-0.004785533559400262,-0.0006900809523246687,0.4388663884977071,-59.37366754788754,0,1.8782670002603332e-05,-0.03818270210475576,-0.02925376172423194,-0.029410022032571204
19,1-0.45-60.pcd,-0.0005853790422909922,-0.00044888253540170594,0.4385391436599658,-71.77700279248174,0,1.8208506477342443e-05,-0.03932564418530961,-0.029418613553916072,-0.029119175037212956
20,1-0.45-75.pcd,0.0007168349673551599,-0.00013333135283223857,0.43776265146032584,-80.32957739036185,0,1.8015326992984162e-05,-0.03808983218097098,-0.029267247305514322,-0.029027725693504872
21,1-0.45-90.pcd,0.004063189282337816,-0.001655666335535415,0.4364754088551635,86.15958918855925,1,1.6658178988246796e-05,-0.039049992532608116,-0.029019567534649633,-0.02952095692711415
22,2-0.25-0.pcd,-0.01690532450363538,-0.005727920924781616,0.23306099630778054,-7.591904671632794,0,1.2834950630863136e-05,-0.036874793519295235,-0.02518172368744846,-0.032694949648686744
23,2-0.25-15.pcd,-0.01417090830802469,-0.010148054361108737,0.23381103599332403,-22.862355647949737,0,1.5041463550342595e-05,-0.03672500177114507,-0.026822868644570175,-0.032017058126265145
24,2-0.25-30.pcd,-0.007616740655462312,-0.004663062363899403,0.23449155406979488,-32.114563893626205,0,1.2473437975994948e-05,-0.03743338489673528,-0.02596738237918441,-0.030557885458107573
25,2-0.25-45.pcd,-0.0031396184455964567,-0.003924131445529067,0.23370969764712105,-48.18582820158163,0,1.3039545491136978e-05,-0.03814232445332322,-0.027449922809997362,-0.03200583236873436
26,2-0.25-60.pcd,-0.0003681319066237744,-0.003913035816443322,0.23256539776623023,-58.47151761396397,0,1.2036958892615141e-05,-0.037975912073576916,-0.025562218043338372,-0.03299033798306544
27,2-0.25-75.pcd,-0.0012012288643082954,-0.004749055100924342,0.23286727891048678,-72.65851248142953,0,1.1426602050928299e-05,-0.037222611291909534,-0.024412363872030832,-0.03195724006562689
