no.,name,length,width,area_ratio,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,x,y,z,main_x,main_y,main_z,weight
139,7-0.35-75,122.9186723,114.9826074,0.825131228,0,0,0,0,101,845,247,88,80,28,0,0,-0.002819731,0.011381251,0.330156233,-0.92048372,-0.242494856,-0.306440803,12
140,7-0.35-90,122.0040983,115.3169545,0.80502427,0,0,0,0,121,711,339,100,42,24,2,0,0.001814804,0.012442984,0.329417943,0.959694936,0.03319184,0.279076926,12
141,7-0.45-0,95.29428105,88.58893836,0.822196662,0,0,0,0,170,368,131,64,36,52,0,0,-0.03399436,0.001593336,0.431951113,-0.362279909,-0.852227475,-0.377440854,12
142,7-0.45-15,93.33809512,86.97700846,0.873092604,0,0,0,0,295,248,108,78,59,56,0,0,-0.024892205,0.005818892,0.433766308,-0.585357909,-0.669968129,-0.456616716,12
143,7-0.45-30,94.20191081,88.60022573,0.845643108,0,0,0,0,104,427,124,64,45,37,0,0,-0.018117267,0.010152078,0.432991351,-0.630715408,-0.696655071,-0.341862233,12
144,7-0.45-45,93.62157871,87.32124598,0.828486033,0,0,0,0,181,335,141,74,48,36,0,0,-0.010321552,0.013514277,0.433397257,-0.790054233,-0.469444989,-0.39425336,12
145,7-0.45-60,93,87,0.84538376,0,0,0,0,74,464,122,72,50,23,0,0,-0.00291677,0.014868683,0.432715418,-0.863218674,-0.332605896,-0.379772087,12
146,7-0.45-75,91.44397192,87.36704184,0.857909323,0,0,0,0,126,397,142,64,34,35,1,0,0.00291156,0.015979149,0.431912243,0.911862955,0.186892992,0.365481821,12
147,7-0.45-90,94.24436323,87.92041856,0.835143226,0,0,0,0,28,494,138,54,37,28,0,0,0.009203338,0.014667546,0.430911282,0.941456629,0.023927674,0.336283931,12
148,8-0.25-0,205,179,0.683335604,0,0,0,0,748,1250,582,475,193,22,40,0,-0.02904332,-0.005266652,0.227008754,-0.077803504,-0.941565956,-0.327719645,13.71
149,8-0.25-15,197.3119358,181.0331461,0.692973115,0,0,0,0,655,1301,587,415,135,77,23,0,-0.023663328,-0.00205344,0.227077212,0.318512659,0.87644571,0.361099161,13.71
150,8-0.25-30,200.2823008,180.6460628,0.679985015,0,0,0,0,684,1254,624,361,144,93,20,0,-0.019601142,0.001099678,0.227057897,-0.496789337,-0.774598602,-0.391404343,13.71
151,8-0.25-45,209.3442142,179.7386992,0.681766417,0,0,0,0,912,1085,610,316,224,103,23,0,-0.014280337,0.003273858,0.22774992,-0.697070092,-0.593281401,-0.40262944,13.71
152,8-0.25-60,205.7182539,177.9915728,0.665827044,0,0,0,0,617,1319,575,392,95,118,12,0,-0.009436988,0.005819076,0.227237592,-0.785237329,-0.47794325,-0.393665577,13.71
153,8-0.25-75,203.5902748,179.5132307,0.710643687,0,0,0,0,565,1357,650,289,202,48,13,0,-0.006757791,0.007245629,0.226742821,-0.883542907,-0.271712461,-0.381476435,13.71
154,8-0.25-90,204.9804869,178.3535814,0.665089236,0,0,0,0,694,1248,606,398,179,62,4,0,-0.003790741,0.00838751,0.226244006,0.932131165,0.065579154,0.356133213,13.71
155,8-0.35-0,136.1800279,125.1439172,0.743511564,0,0,0,0,376,647,213,156,104,62,10,0,-0.031297452,-0.001797403,0.329606846,-0.186326307,-0.88493133,-0.426824377,13.71
156,8-0.35-15,136.9452445,125.9364919,0.730355165,0,0,0,0,413,610,211,157,135,53,8,0,-0.023893206,0.00146756,0.33060055,-0.458897288,-0.76718571,-0.448151052,13.71
157,8-0.35-30,143.0139853,123.0162591,0.708404922,0,0,0,0,438,581,213,121,109,73,20,0,-0.017998611,0.004747732,0.330251293,-0.585811169,-0.645640202,-0.489871416,13.71
158,8-0.35-45,142.126704,124.4266852,0.704916873,0,0,0,0,368,631,241,202,72,49,14,0,-0.01148827,0.007404121,0.329434764,-0.764331989,-0.475832884,-0.435177754,13.71
159,8-0.35-60,144.0138882,124.7798061,0.676459825,0,0,0,0,327,649,263,148,86,57,6,0,-0.006043327,0.008683331,0.328082138,-0.814074627,-0.419645346,-0.401472645,13.71
